wallet,wallet_type,n_participations,pnl
0x4d5dd3ceb9ac73083514e435629d596cdf32f50b,bot,159,-0.022834000001033417
0xc2985207009b5869c9926356ab9c953f9539a912,active_retail,198,-155.3862719999961
0xa74117d94a7d71941c440a9f344a45e9a3015c0d,active_retail,116,16928.794789
0x0f84b5911f286637340b155f42118c8019e8e431,bot,216,4339.5144
0xad41b4b28d12f3940e8d5981e208b1a012111833,active_retail,120,9.335352999999884
0x226aca3e129cf187431ce84a7ba83b0575ee22fd,active_retail,414,31310.235011
0x3d9b493cc99515cf341982fa0e221af0be085e84,active_retail,327,-319.5523580000077
0xfb681e23db8d1cca8a6b7e2a70a29e000ddfa240,bot,3190,88819.70693900003
0x1a382b80464f4a0ccb0b1882eb3cb4861dac8fb5,bot,1297,19209.896484999976
0x61831def99fddf037af3619328a76aec648a18d4,sophisticated,319,66901.730734
0x32ab9981fae34298d7e66a205d85e0e3abecf0c8,active_retail,118,8.580656000001023
0xcdcf33e8157a85970d53a21b4cd8465b337ab640,active_retail,179,12.05071199999972
0x3eba55f41f4064bc4b070d06a00fec7c2dd5849a,bot,2236,300.3001959999565
0x284dc0a453f1325166346d63166b1a6b8194ff02,active_retail,156,-18.071499999999446
0x057066ec6fafc7406231cf1c5a8447291dd08cc6,active_retail,157,-3.8683789999995284
0x1a1f7aae1099d5a72e896fd9b2930614ca46a42a,active_retail,135,-195.8948829999995
